17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,100,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,1,100,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,1,100,1,0,0
0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,100,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000
