110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0
0,1,0,1,1,1,0,1,1,1,100,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,100,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,110,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
