19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
