1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,100,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,100,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,1,1,1,100,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,100,1,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000
